ID,Name,Concepticon_ID,Concepticon_Gloss,Number,Description
15-Saddle,Saddle,,,15-Saddle,"  ‘Saddle’ [Guanzi] is cognate to → ān1 安 acc. to Boltz (1994: 95f), lit. ‘seat’. Following the Shìmíng, Pulleyblank has suggested a connection with è 頞 (Ɂat) ‘bridge of the nose’ [Meng] (Boltz 1994: 98). "
16-Dumbsilent,"Dumb, silent",,,16-Dumbsilent,"  ‘Dumb, silent’ [Mo].    ||  [E] ST *Ɂum: PTB *um ‘hold in the mouth’ (STC: 181) > WT Ɂum ‘a kiss’ (cf. Ɂu ~ Ɂo ‘a kiss’); Lepcha ŭm ‘receive into the mouth without swallowing’, Mikir om ‘mouthful’, Nung im ‘mouthful’ (HST: 95). Perh. also connected with PTB *(m-)uːm (STC: 181 n. 479). → cǎn 噆 is perh. a derivation. "
17-Holdinthemouthputinthemouth,"Hold in the mouth, put in the mouth",,,17-Holdinthemouthputinthemouth,"  ‘Hold in the mouth, put in the mouth’ [GY].   ||  [T] ONW Ɂɑm.   ||  [<] endoactive of ān 喑 (§4.5). "
18-Pentup,Pent up,,,18-Pentup,"  ‘Pent up’ [Zhuang].  ||  [<] exopass. of ān 喑 (§4.4), lit. ‘be held back in the mouth’, but the role of MC div. III is not clear (§9.1.2).  "
22-Riverbank,River bank,,,22-Riverbank,"  ‘River bank’ [Shi].   ||  [T] Sin Sukchu SR ŋɔn (去); PR Ɂan; LR Ɂan; MGZY ngan (去) [ŋan]; ONW ŋɑn   ||  [E] ST: WT dŋo ‘shore, bank’. "
23-Cliff,Cliff,,,23-Cliff,"  ‘Cliff’ [BI, SW], ‘high river bank’ [Liù shū běnyì 六書本義].  "
24-Riverbank,River bank,,,24-Riverbank,"  ‘River bank’ [Shi].   ||  [<] These are all nouns derived from the stem *ŋaɁ ‘oppose, resist’ (→ yù17 禦), i.e. ‘the thing that resists the river’s flow, keeps the river in its bed’. The voiceless initial in hàn and hǔ denotes a noun referring to a natural object (§5.2.4), the final *-n in hàn and àn marks nouns in general (§6.4.3). The role, if any, of tone C is not clear. For an overview of similar and related words, see under → yà2 御迓訝. "
25-Adeepblack,A deep black,,,25-Adeepblack,  ‘A deep black’ [SW].
26-Bedark,Be dark,,,26-Bedark,"  ‘Be dark’ 暗 [Guoyu]; 闇 (also read QY Ɂậmᴮ) [Li] > Mand. ‘dim, gloomy’.   ||  [T] Sin S. SR Ɂam (去); PR Ɂan; MGZY ’am (去) [Ɂam], ONW Ɂɑmᶜ.   ||  [<] perh. exoactive of àn 黯 (§4.3), here noun > verb.   ||  [C] A probable allofam is → yīn5 陰 (so Wáng Lì 1982: 602).  "
29-Asmallmouthedlargebelliedearthenjarforfetchingwater,"(A small-mouthed, large-bellied) earthen jar (for fetching water)",,,29-Asmallmouthedlargebelliedearthenjarforfetchingwater,"  ‘(A small-mouthed, large-bellied) earthen jar (for fetching water)’ [Lunheng] > ‘obese, swollen’ [Zhuang]; later 盎 ‘basin, tureen’ (which is large-mouthed).    ||  [E] MK: Khmer ’āṅa /Ɂaaŋ/ ‘a type of large, wide-mouthed earthen jar, cistern, tank’. "
31-Tocryclamor,"To cry, clamor",,,31-Tocryclamor,"  ‘To cry, clamor’ [Shi].  ||  [E] Perh. cognate to PTB *ŋuw > WT ŋu-ba ‘to weep, roar’, WB ŋui ‘cry, weep’, PL *ŋo¹ ‘cry’ (HST: 60). This identification is somewhat doubtful as the vowels and the meanings are not very close. "
32-Tofry,To fry,,,32-Tofry,"  ‘To fry’ [Zhouli], ‘roast’ [Li].  ||  [E] ST *ŋau: PTB *r-ŋaw (STC no. 270) > WT rŋod-pa, brŋos ‘to parch, roast, fry’; Chepang ŋāw; Mikir arŋu ‘roast, fry’; JP gə³¹-ŋau³³ ‘fry’ (STC: 193; also Bodman 1980: 78).  "
33-Inside,Inside,,,33-Inside,"  ‘Inside’ (of a realm) [Shi], ‘bay, cove’ was acc. to Guō Pú (ca. 300 AD) a Jiāngnán (southern) word.  ||  [T] Sin Sukchu SR Ɂaw (去); MGZY ’aw (去) [Ɂaw]; ONW Ɂɑu   ||  [D] This word is still used in Mǐn dialects: Fúzhōu oᶜ¹-tʰauᴬ², Xiàmén uᶜ¹   ||  [E] MK: Viet ao ‘pool, pond’, WrMon ‘o, o ‘cove, small bay’ (Norman 1983: 205). "
34-Proudarrogant,"Proud, arrogant",,,34-Proudarrogant,"  ‘Proud, arrogant’ [Shu]. Etymology not clear.   ||  [T] Sin S. SR ŋaw (去); PR aw; LR aw; MGZY ngaw (去) [ŋaw] "
36-Eight,Eight,,,36-Eight,"  ‘Eight’ [OB, Shi].   ||  [T] MTang pär, ONW pät — [D] PMin *pet, K-Méixiàn pat  ||  [E] ST *priat ~ *pret: PTB *b-r-yat (STC no. 163) > WT brgyad (< *bryat); TGTM *³pret, Kanauri *re; PLB *Ɂrit or *Ɂryat > WB hrac; Lushai paᴸ-riatF (Bodman 1980: 73); Bahing ja, Thulung jet; JP mə³¹-tsat⁵⁵ < m-rjat. CH -> Tai: PT *p-: S. pɛɛtᴰ¹ᴸ is obviously a CH loan (otherwise we should find an /r/ in the Tai initial).  "
37-Python,Python,,,37-Python,"  ‘Python’ [SW, Shanhaijing].   ||  [T] Sin Sukchu SR pa (平); MGZY: ba (平) [pa]); ONW pä  ||  [E] ? Kam-Tai: note Lao ŋuuᴬ⁴ kăbaaᴬ³ ‘a kind of viper: Agkistrodon’ (ŋuu ‘snake’, kă- perh. animal prefix) (James Chamberlain ICSTLL 1981). AA-PNB *qb≠àyh ‘snake’. "
38-AkindofbamboofromsouthwestChina,A kind of bamboo from southwest China,,,38-AkindofbamboofromsouthwestChina,"  ‘A kind of bamboo from southwest China’ [GY].   ||  [E] The word’s place of origin (SW China) and late appearance suggest that it is a loan from a TB language: PTB *pa [STC no. 44; Matisoff LL 1.2, 2000: 140] > WT spa ~ sba ‘cane’; WB waᴮ ‘bamboo’; JP kə⁵⁵-wa⁵⁵, wə³¹ ‘bamboo’, Lushai ruaᴴ (rɔF) (< *r-wa) ‘a kind of bamboo’ (HST: 38).  "
39-Bamboohedgeorfence,Bamboo hedge or fence,,,39-Bamboohedgeorfence,"  ‘Bamboo hedge or fence’ [GY].  ||  [E] PTB: *rpa: Kom ra-pe, Tśiru ra-pa ‘fence’ (Kuki lgs.) [Shafer: IST 29].  "
40-Scar,Scar,,,40-Scar,"  ‘Scar’ [JY].  ||  [E] ? ST: Perh. related to WT ’bar-’bar ‘uneven, rough, pock-marked’ (Unger Hao-ku  35, 1986: 36). "
41-Wildpigpig,"Wild pig, pig",,,41-Wildpigpig,"  ‘Wild pig, pig’ [Shi].   ||  [E] Bā is assumed to be a ST word related to PTB *pᵂak > WT pʰag; PLB *wak > WB wak; JP waɁ³¹ ‘pig’ (STC no. 43; Matisoff LL 1.2: 2000: 157f). But the OC and TB forms are phonologically not very close. OC medial *r corresponds also to a TB pre-initial, but TB forms for ‘pig’ do not have one, therefore one needs to assume some kind of CH innovation which led to medial *r. An OC open syllable corresponding to TB final -k is not common (§6.9). Alternatively, MK-Wa-Lawa-Bulang *bras ‘wild boar’ is semantically and phonologically close to the OC form. CH -> Miao languages npa⁴, npua⁴ ‘pig’ (Strecker LTBA 10.2, 1987: 51: Benedict, Wáng Fúshì). "
43-Toexpel,To expel,,,43-Toexpel,"  ‘To expel’ (a person) [Zhouli].  ||  [E] ST: Lushai pɔtᴸ / pɔɁᴸ ‘to pull, pull up, out’. Allofams may include → fā 發 and → fèi6 廢 ‘cast aside’ (if derived from fā)."
44-Uprooted,Uprooted,,,44-Uprooted,"  ‘Uprooted’ 沛 [Shi], ‘thinned out’ (trees) 拔 [Shi], ‘uprooted’ figuratively of a person 沛 [Lunyu].   ||  [<] exopass. of bá 犮 *bât (§4.4).  "
45-Topullupuprootbeuprooted,"To pull up, uproot, be uprooted",,,45-Topullupuprootbeuprooted,"  ‘To pull up, uproot, be uprooted’ [Yi, Shu].   ||  [<] r-caus. of bá 犮 *bât (§7.5), lit. ‘cause to be uprooted’. "
46-Rootsofgrass,Roots of grass,,,46-Rootsofgrass,"  ‘Roots of grass’ [Huainan, SW]. SW 377 considers this word related to → fā 發 ‘lift up / out’ and → fá2 伐 ‘to plow’ as the plow exposes the roots of the grass. An allofam may be → bá3 茇 ‘to camp’, and perhaps bá 跋 ‘foot, base’.  ||  [E] Etymology not clear. Comparanda may include TB-JP (n³¹-/niŋ³¹-) pot³¹ ‘root; origin’; or see bá3  茇."
47-Tocampongrassland,To camp on grassland,,,47-Tocampongrassland,"  ‘To camp on grassland’ [Shi, Zuo].  ||  [E] This is likely a specialized meanings of a MK etymon: MK *kɓat, *ɓat ‘grass’ (Shorto 2006 #1034). Possibly, bá2 茇 ‘roots of grass’ could be related."
48-Totrampleonwithfeettrudge,"To trample on (with feet), trudge",,,48-Totrampleonwithfeettrudge,"  ‘To trample on (with feet), trudge’ [Shi], ‘foot, base’ (of a torch) [Li]; ‘the end of an arrow’ [Shi]. Possibly related to bá2 茇 ‘roots (of grass)’, but that would be rather strained."
52-Ahandful,A handful,,,52-Ahandful,"  ‘A handful’ [Guoyu], ‘grasp’ [Meng].   ||  [T] Sin Sukchu SR pa (上);  MGZY: suppl. ba (上) [pa])  ||  [E] ST: WT spar-ba ‘the grasping hand, paw, claw, a handful’ (Unger Hao-ku 35, 1986: 36). Matisoff (2000: 155f) connects this word with PTB *r-pa-k ‘palm / sole and leaf’. For the r-metathesis, see §7.7.3.  ||  This word may be related to → pá2, bá 耙杷 ‘rake’. Given its TB cognates, it is prob. not related to → fú3 扶 ‘breadth of two fingers’. Wáng Lì (1982: 173) relates this wf to → bǐng2 秉 ‘grasp’."
54-Flatvalley,Flat valley,,,54-Flatvalley,"  ‘Flat valley’. This word from SW China is a Tai loan: S. paaᴮ¹ < *paᴮ  ‘meadow’ (Li F. 1976: 46; Mei Tsu-lin, AAS 1980). "
55-Tostopcease,"To stop, cease",,,55-Tostopcease,"  ‘To stop, cease’ (work etc.) tr. [Lun]. Prob. not related to → bì25 畢.  ||  [T] Sin Sukchu SR ba (去); MGZY pay (上) [baj]  ||  [E] ST: WB priᴮ < preᴮ ‘be done, completed’ (CVST 1: 59), perh. also JP pʰraɁ³¹ < pʰrak³¹ ‘to complete’. "
57-Bewhite,Be white,,,57-Bewhite,"  ‘Be white’ [OB, BI, Shi] always has been a basic color term (Baxter JCLTA 19, 1983), also applied to silver.   ||  [T] Sin Sukchu SR bəj (入); LR bəjɁ; MGZY pay (入) [baj]; ONW bëk  ||  [N] The graph represents an acorn, note the element 白 in the original graphs for → lè 樂 = lì 櫟 ‘oak’ and zào 皂 ‘acorn’. It is not clear why the graph has been selected for ‘white’. (Unger Hao-ku  29, 1984).  ||  [E] ST: Most plausibly, bái is a CH kēxtension (§6.1) of the ST root *bar ‘white’ and thus cognate to → pó3 皤 ‘white’ (so Wáng Lì 1982: 292), hence OC < *bar-k: PTB *pwaːr > Lushai vaarᴴ ‘be white, light’, PKaren *Ɂ(b)wa ‘white’ (Matisoff LL 1.2, 2000: 145).  ||  Tai: S. pʰiak < *pʰr/l- ? ‘white, albino’ (Li F. 1976: 44) may be a CH loan. <> AA ‘silver’ may be related: Nyah Kur prak, PVM *prak.  ||  Alternatively, note this area word for ‘white’ without medial r which is, however, difficult to reconcile with MC: MK *kɓɔɔk ‘white, gray’ (Shorto 2006 #369a); PTB *bok (?): S. Kuki bok ‘white’, Garo gibok ~ gipok, Dimasa *g-pʰuk.    ||  [C] Possible cognates are → bó1 伯 ‘elder’; → bó2 帛; → pò4 魄, → pò5 霸魄.   ||  (bái2)  白     ||  [D] Min: Fúzhōu paiɁ⁷, Amoy bat⁷ ‘to know’, borrowed from AA: Viet biẽt ‘to know, recognize’, also PMY *p¹ai¹ᴬ ‘to know’ (Norman / Mei 1976: 298). "
58-Hundred,Hundred,,,58-Hundred,"  ‘Hundred’ [BI, Shi]. The OB graph is similar to, but not identical with, → bái1 白 ‘white’ (Unger Hao-ku  29, 1984).   ||  [T] Sin S. SR pəj (入), LR pəjɁ; MGZY bay (入) [paj]; ONW pëk.  ||  [E] ST *(p)rya: PTB *r-ya (STC no. 164) > WT brgya < br-ya; Kanauri rā; PLB *hrya, WB əra (inscriptional rya), Lushai zaᴸ-biR < jaɁ/h, Paangkhua razáa < rya. For the final -k, see §6.1. CH -> PTai *p-: Lóngzhōu paakᴰ¹ᴸ is obviously a CH loan (otherwise we should expect an r in the initial and almost certainly an open syllable).  "
59-Toopen,To open,,,59-Toopen,"  ‘To open’ [Guiguzi].   ||  [E] ST *prai: WB praiᴮ ‘to gape, expand, flare’ ᛝ pʰraiᴮ ‘to pull open, make gap’; Chepang pre-Ɂak-sa ‘to separate’ (intr.).  ||  A derivation is → bò3 擘 (pɛk). Possibly related to → zhā 奓 *trai ‘to open’. For an overview of similar items, see the table under → pí7 罷疲. For a listing of similar words and possible allofams, see → lí10 離. "
60-Toruindestroy,"To ruin, destroy",,,60-Toruindestroy,"  ‘To ruin, destroy’ [Shi].   ||  [T] Sin Sukchu SR pai, bai (去);  MGZY  bay, pay (去) [paj ~ bɑj]  ||  [E] Etymology not certain, but Tai: S. prap⁴ ‘to subdue, conquer’ is the same etymon and indicates a PCH form *praps > OCM *prâts. (The phonetic → bèi2 貝 is also connected to foreign -p). The direction of borrowing is undetermined, yet Tai is prob. not the ultimate source of CH. More likely, the etymon is a ‘medial r’ causative derivation (§7.5) with the addition of the redundant exoactive final *-s (§4.3). AA is the most likely source of OC: OMon pop /pop/ ‘to give way to’, Khmer -pap /-bɑɑp/ ‘be beaten, subdued, routed’ ᛝ paṁpapa /bɑmbɑɑp/ ‘to crush’ (opposition), ‘break down’ (resistance). (Note that MK has a causative r-infix). <> ST: WT ’brab-pa ‘to beat, scourge (e.g. with thorns), scatter’ (e.g. grain for offering) is semantically somewhat removed.   ||  Alternatively, bài may be derived from → fèi6 廢 ‘reject, fall’; however, fèi6 廢 ᛝ fá 乏 = WT bab ‘fall down’ is semantically different from bài 敗 = AA pap ‘be beaten’, hence we consider these two distinct wfs. Acc. to Wáng Lì (1982: 500) an allofam is → bì10 敝弊斃 ‘worn out’. Pulleyblank (1962: 215) relates this wf to → pí7 罷疲. See → fèi6 廢 for additional comments."
61-Togotoruindefeat,"To go to ruin, defeat",,,61-Togotoruindefeat,"  ‘To go to ruin, defeat’ [OB, Shi].  ||  [<] endopass. of bài 敗 (paiᶜ) (§4.6). "
62-Tobendorputtogether,To bend or put together,,,62-Tobendorputtogether,"  ‘To bend or put together’ (the hands in salute), ‘to salute’ [BI, Shi]. Etymology not clear."
63-Finerice,Fine rice,,,63-Finerice,"  ‘Fine rice’ [Shi].  ||  [E] This etymon is close to → lì21 糲 *ras ‘coarse grain’ and its possible cognates, both hail perh. from the some foreign source. This word bài and → mǐ1 米 ‘rice’ can on occasion be connected with the same foreign comparandum. The following items look similar to bài: AA-Kharia pɛɁ, Khmer paj < *paih, *pih ‘rice’, PNB *pʰe ‘husked rice’. Note also TB-Mru rai ‘a species of rice’, Lushai ṭaiF < traih (< *-s) ‘species of early rice’ [Löffler 1966: 132]; the Lushai word has also been associate with WT kʰre ‘millet’ (Sagart ms 2002: 8). "
64-Todistribute,To distribute,,,64-Todistribute,"  ‘To distribute’ [BI, Shu] > ‘spread out, scatter’ [Zuo] > ‘to arrange, classify’ [Meng].   ||  [T] Sin Sukchu SR  pan (平);  MGZY  ban (平) [pan]  ||  [E] ? ST *pral: WT ’pʰral-ba ‘to separate, part’ ᛝ ’bral-ba ‘be separated, lose’, WB praᴮ ‘be divided into several parts, various’, JP pə³¹-ran³¹ ‘be separate, sort out’ (for JP allofams, see → lí 離). In HST: 65, the WT item is associated with → bàn2, biàn  釆, and with → bàn1 半 by Bodman (1980: 147), while Karlgren (1933: 92f) combines all of these into one wf (no. 26-37). <> AA has an alternative comparandum which is semantically closer to OC, even the initial *p- could represent an AA trans. / caus. prefix: Khmer rāla /ríiəl/  intr. ‘to spread, extend, distribute’ ᛝ brāla /príiəl/  tr. ‘to spread’.  ||  A cognate is prob. *(C-)ral → lí10 離 *rai with the occasional ST *-l > OC *-i shift (§8.3). → bān2 斑 is perh. the same word. For an overview over similar items, see lí10 離 and the Table P-1 under → pī3 披.  "
65-Variegated,Variegated,,,65-Variegated,"  ‘Variegated’ [Li] may either be the s. w. as → bān1 班 ‘scatter’; or may be a derivation from → bó9 駁 ‘mixed colors’. In this case, OCM *prân would derive from earlier *pron. "
66-Tomovetransport,"To move, transport",,,66-Tomovetransport,"  ‘To move, transport’, a post-classical word.    ||  [T] Sin Sukchu SR  pwɔn (平), PR pɔn, LR  pɔn; cf. 般 MGZY bon (平) [pɔn] "
67-Boardplank,"Board, plank",,,67-Boardplank,"  ‘Board, plank’ [Shi].  ||  [E] ST *par: WT ’pʰar ‘a panel, small plank’ (Bodman 1980: 145; HST: 45). CH -> PTai *p-: S. pɛɛnᶜ¹. For the OC medial *r, see §6.1. "
68-Great,Great,,,68-Great,"  ‘Great’ (of demeanor, domain, god) [Shi].  ||  [E] ? ST: WT ’pʰar-ba ‘raised, elevated’ (Bodman 1980: 145; HST: 88). For the OC medial *r, see §6.1."
69-Half,Half,,,69-Half,"  ‘Half’ [Yi].   ||  [T] Sin Sukchu SR pwɔn (去), PR pɔn, LR pɔn;  MGZY  bon (去) [pɔn]; ONW pɑn  ||  [E] ST *par: WT bar ‘interstice, intermediate space, middle, mean’ (HST: 109) ᛝ WT pʰrag < par-k ‘intermediate space, interstice, interval’ (§6.1); NNaga pʰar ‘divide’ [French 1983: 183]. JP ban ‘division, part’, Bodo pan ‘share, part’ may belong here which CVST I: 4f. relate to → fēn1 分, however. Li F. (1976: 41) also relates Tai: S. panᴬ¹ < *p- ‘to divide into shares’ to fēn. For alternative connections, see → bān1 班. "
70-Tocleave,To cleave,,,70-Tocleave,"  ‘To cleave’ [Zhouli], ‘divide’ 判 [Zuo]; ‘one half, one of two parts’ 片 [Zhuang] > semi-circular pool, shore’ 泮 [Shi], and additional specialized meanings based on ‘half’.   ||  [<] exoactive of bàn (§4.3), perh. caus. aspiration (§5.8.2). "
71-Bankbetweenfieldsseparatefrom,"Bank between fields, separate from",,,71-Bankbetweenfieldsseparatefrom,"  ‘Bank between fields, separate from’ [Zuo], ‘to separate from, rebel’ [Lunyu].   ||  [<] endopass. of bàn (§4.6), lit. ‘be separated from’. "
72-Discriminatedistinguish,"Discriminate, distinguish",,,72-Discriminatedistinguish,"  ‘Discriminate, distinguish’ [Shu].   ||  [<] exopass. of biàn 辨辯 below (§4.3), lit. ‘(cause to) be divided’.  ||  [E] ? ST: This wf may belong to TB-Lushai pʰelᴴ ‘to split, cut in halves’ (medial r does not occur in Lushai after labial initials), and / or to *pral > → bān1 班 (§2.5). "
73-Sectionsofafruit,Sections of a fruit,,,73-Sectionsofafruit,"  ‘Sections of a fruit’  [SW].  ||  [<] exopass. of biàn 辨辯 below (§4.3), lit. ‘what is divided’. → bàn4 瓣 ‘petals’ is perh. the s. w.  "
74-Divide,Divide,,,74-Divide,"  ‘Divide’ [Zhouli], ‘distinguish, discriminate’ 辨 [Lunyu] (also MC bănᶜ), 辯 [Yi], ‘dispute’ [Meng].   ||  [T] Sin Sukchu SR bjen (上);  MGZY pen (上) [bɛn]; ONW ban"
75-Todealwithhandlemanage,"To deal with, handle, manage",,,75-Todealwithhandlemanage,"  ‘To deal with, handle, manage’ [BI, Zuo].   ||  [T] Sin Sukchu SR  ban (去);  MGZY  pan (去) [ban]  ||  [E] ST *brel: WT brel-ba ‘be employed, busy, engaged’ (Bodman 1980: 163). "
76-Petalsofaflower,Petals of a flower,,,76-Petalsofaflower,"  ‘Petals of a flower’ is a late word [14th cent. AD]. The MC reading applies to the meaning ‘sections of a fruit’ (under → bàn2, biàn 釆). In the QYS, the rimes ān  and -ăn seem to have been confused on occasion; therefore -ăn could also go back to *-rân.  ||  [E] ‘Petals’ is possibly the same word as bàn 瓣 ‘section of fruit’ (under → bàn2, biàn   釆). Alternatively, it could be the same etymon as → pā 葩 ‘flowers, blossoms’ and prob. related to ‘burn’ → fán5 燔, note the WT word me-tʰog ‘flower’, lit. ‘fire-top’. "
77-Country,Country,,,77-Country,"  ‘Country’ [Shi], possibly the same etymon as → fēng1 封 (Wáng Lì 1982: 388).   ||  [T] Sin Sukchu SR paŋ (平); MGZY  bang (平) [paŋ]"
78-Board,Board,,,78-Board,"  ‘Board’ [Jinshu].  ||  [E] ST: WT spaŋ ‘board, plank’ (Unger Hao-ku 36, 1990: 48). Superficially, this word looks like a doublet of → bǎn1 板版. The graph also writes a word QYS pɐŋᶜ, LH paŋᶜ ‘oar’ [Chuci]. "
80-Clubstick,"Club, stick",,,80-Clubstick,"  ‘Club, stick’ [Post-Han: Weishu].  ||  [E] <> Tai: S. pʰlɔɔŋᴬ² < *b- ‘club, cudgel’ (Manomaivibool 1975). "
83-Towrapbundle,"To wrap, bundle",,,83-Towrapbundle,"  ‘To wrap, bundle’ [Shu], ‘contain’ [Zuo].   ||  [T] Sin Sukchu SR paw (平); MGZY baw (平) [paw]  ||  [E] ST: WT ’pʰur-ba ‘to wrap up, envelop’ (Unger Hao-ku  35, 1986: 36), perh. also Lepcha prók ~ prek ‘wrap up’ [Bodman ICSTLL 1987: 21]. For the r-metathesis, see §7.7.3. This word is often thought to be cognate to → bào1 抱 ‘carry in arms’, but the TB cognates cast doubt on this. "
84-Womb,Womb,,,84-Womb,"  ‘Womb’ [Zhuang].  ||  [E] ST: WT pʰru-ma ~ ’pʰru-ma/-ba ‘uterus, placenta’ (Bodman 1980: 142; HST: 161); Löffler (ZDMG 116.1, 1966: 152) adds Mru bur ‘menstruation’. Acc. to Karlgren (1956: 5) this is the s. w. as → bāo1 包 ‘wrap’, but this is doubtful in light of TB cognates which distinguish these two items. Löffler relates ‘womb’ to → páo 匏 ‘gourd’. "
85-Tocutuppeelpluck,"To cut up, peel, pluck",,,85-Tocutuppeelpluck,"  ‘To cut up, peel, pluck’ [Shi].   ||  [D] Guǎngzhōu mɐk⁷ ‘to peel’ (Sagart 1999: 80), Zhōngshān mɔk⁵⁵ ‘to undress’.  ||  [E] Perhaps connected with MK, but the OC medial *r poses a problem: MK *pɔɔk ‘to peel’ (Shorto 2006 #347) -> Tai: S. pɔɔkᴰ¹ ‘to peel’; note also PTai *dlɔɔk: S. lɔɔkᴰ² ‘to skin, peel’ ᛝ plɔɔkᴰ¹‘an encasement, slipcover, sheath’ (Manomaivibool 1975: 120). This word is thought to be related to → lù1 彔 ’carve’, but ‘carve’ and ‘peel’ are rather different procedures. "
86-Totakecareof,To take care of,,,86-Totakecareof,"  ‘To take care of’ (a baby by wrapping it in swaddling cloth) [Meng], (people) [Shu]; ‘preserve, protect, maintain’ [Shi].    ||  [T] Sin Sukchu SR paw (上); MGZY baw (上) [paw]  ||  [E] Etymology not certain. Following Táng Lán, Qiu Xigui (2000: 212f) interprets an OB form of the graph as well as an occurrence in Shūjīng 17,10  as ‘to carry (a baby) on the back’, thence ‘take care of’ etc.; bǎo would then be the OC cognate of the TB items under → fù11 負. However, in no textual occurrence, incl. Shūjīng, has bǎo the unequivocal meaning ‘carry on the back’. Alternatively, this could be the s. w. as → bǎo3 寶 ‘precious’ used in a putative sense, lit. ‘consider something precious’, and then act accordingly.  ||  It is not clear if / how → bāo1 包 ‘wrap, contain’, and WT pʰru-ma ‘fortified camp, palace, fort’ (HST: 164) may be related.  "
87-secure,secure,,,87-secure,"  (What protects, shields:) ‘secure’ (residence, land) 葆 [Shu]; ‘fort, stronghold’ 保 [Li]; ‘cover’ for a chariot 葆 [Lun Heng]."
